,Unnamed: 0,refs,del_25,model_corrected
5197,79921,clinical and demographic parameters were analyzed using univariable and multivariable logistic regression analysis,clinical and demographic parameters were analyzed using univariable and multivariable logistic regression analysis,clinical and demographic parameters were analyzed using univariable and multivariability logistic regression analysis
5198,79922,the nomogram to assess the risk of colorectal cancer was constructed and validated by bootstrap resampling,the nomogram to assess the risk of colorectal cancer was constructed and validated by resampling,the nomogram to assess the risk of colorectal cancer was constructed and validated by resampling
5199,79923,predictors in the prediction nomogram included age sex other bloodglucoselowering drugs and thiazolidinediones,predictors in the prediction nomogram included age sex other drugs and thiazolidinediones,predictors in the prediction nomogram included age sex other drugs and thiazolidinediones
5200,79924,in addition the decision curve analysis demonstrated that the nomogram would be clinically useful,in addition the curve analysis demonstrated the nomogram would be clinically useful,in addition the curve analysis demonstrated that the nomogram would be clinically useful
5201,79925,no studies have evaluated the predictive value of alarm symptoms for organic dyspepsia and organic upper gastrointestinal  diseases based on rome iv criteria in the chinese population,no have evaluated the predictive value of symptoms for organic dyspepsia and organic upper gastrointestinal diseases based on rome iv criteria in the chinese population,no studies have evaluated the predictive value of symptoms for organic dyspepsia and organic upper gastrointestinal diseases based on rome iv criteria in the chinese population
5202,79926,to evaluate the predictive value of alarm symptoms for dyspeptic patients based on rome iv criteria,to evaluate the value of alarm symptoms for dyspeptic patients based on rome criteria,to evaluate the value of alarm symptoms for dyspeptic patients based on rome criteria
5203,79927,basic demographic data dyspeptic information alarm symptoms lifestyle examination results family history and outpatient cost information were collected,basic demographic data information alarm symptoms lifestyle examination results family history and outpatient cost were collected,basic demographic data information alarm symptoms lifestyle examination results family history and outpatient cost were collected
5204,79928,we found that based on the rome iv criteria alarm symptoms were of limited value in differentiating organic dyspepsia and organic upper gi diseases from functional dyspepsia,we found that based on the rome iv criteria alarm were of limited value in differentiating organic dyspepsia and organic upper gi diseases from functional dyspepsia,we found that based on the rome iv criteria alarm studies were of limited value in differentiating organic dyspepsia and organic upper gi diseases from functional dysppsias
5205,79929,gastroscopic screening should not be based solely on alarm symptoms,gastroscopic screening should not be based solely on alarm symptoms,gastroscopic screening should not be based solely on alarm symptoms
5206,79930,gastroesophageal reflux disease  is a common clinical condition for which our understanding has evolved over the past decades,gastroesophageal reflux disease is common clinical condition for which our understanding evolved over the past decades,gastroesophageal reflux disease  is a common clinical condition for which our understanding has evolved over the past decades
5207,79931,it is now considered a cluster of phenotypes with numerous anatomical and physiological abnormalities contributing to its pathophysiology,it is now considered a cluster of phenotypes with numerous and physiological abnormalities to its pathophysiology,it is now considered a cluster of phenotypes with numerous clinical and physiological abnormalities related to its pathophysiology
5208,79932,as such it is important to first understand the underlying mechanism of the disease process for each patient before embarking on therapeutic interventions,as such it is important to first understand the underlying mechanism of process for each patient embarking on therapeutic interventions,as such it is important to first understand the underlying mechanism of this process for each patient embarking on therapeutic interventions
5209,79933,the aim of our paper is to highlight the mechanisms contributing to gerd and review investigations and interpretation of these results,aim our paper is to highlight the mechanisms contributing to gerd and review investigations of results,aim of our paper is to highlight the mechanisms contributing to gerd and review investigations of results
5210,79934,finally the paper reviews the available treatment modalities for this condition ranging from medical intervention endoscopic options through to surgery and its various techniques,finally the paper the available treatment modalities for this condition ranging from medical intervention endoscopic options through to and its various techniques,finally the paper reviews the available treatment modalities for this condition ranging from medical intervention endoscopic options through to endoscopy and its various techniques
5211,79935,dear editor paraneoplastic dermatomyositis is a distinct clinical variant of dermatomyositis  in which the typical cutaneous features and muscle weakness appear before simultaneously or after the diagnosis of an internal malignancy,dear editor paraneoplastic dermatomyositis is a distinct clinical variant of dermatomyositis in which the typical cutaneous features and muscle weakness appear before simultaneously or after the of an internal,dear editor paraneoplastic dermatomyositis is a distinct clinical variant of dermatomosititis in which the typical cutaneous features and muscle weakness appear before simultaneously or after the presence of an internal enterocolitis
5212,79936,different neoplasms have been described in association with dm the most common of which are lung breast ovarian gastrointestinal prostate and bladder cancers,different have been in association with dm the most common of which are lung breast ovarian gastrointestinal prostate and bladder cancers,different cancers have been reported in association with dm the most common of which are lung breast ovarian gastrointestinal prostate and bladder cancers
5213,79937,the gender distribution of cancer type corresponds roughly to that of the general population ,the gender distribution of cancer type corresponds roughly to that the general population,the gender distribution of cancer type corresponds roughly to that of the general population
5214,79938,the patient also exhibited some less frequent skin signs of dm such as shawl sign on the upper back and shoulders and vsign on the neck and chest,the patient also exhibited some less frequent skin signs dm such as shawl sign on the upper back and shoulders and vsign on the neck and chest,the patient also exhibited some less frequent skin signs of dm such as shawl sign on the upper back and shoulders and vsign on both the neck and chest
5215,79939,the muscle involvement consisted of proximal muscle weakness and had appeared a month after the skin rash,the muscle involvement consisted of proximal muscle weakness and had appeared a month after the skin rash,the muscle involvement consisted of proximal muscle weakness and had appeared a month after the skin rash
5216,79940,the histology of the skin lesion revealed epidermal atrophy vacuolar degeneration of the basal keratinocytes and perivascular and periadnexal lymphocytic infiltrate in the upper dermis ,the histology of the skin lesion revealed atrophy vacuolar degeneration of the basal keratinocytes and perivascular and periadnexal lymphocytic infiltrate the dermis,the histology of the skin lesion revealed atrophy vacuolar degeneration of both the basal keratinocytes and perivascular and  periadnexal lymphocytic infiltrate in the dermis
5217,79941,laboratory examination found increased creatine kinase  and liver enzymes anemia and leukocytosis,laboratory examination found increased creatine kinase and liver enzymes anemia and leukocytosis,laboratory examination found increased creatine kinase and liver enzymes anemia and leukocytosis
5218,79942,the diagnosis of trichinosis was excluded via serologic examination,the diagnosis was excluded via serologic examination,the diagnosis was excluded via serologic examination
5219,79943,the impaired general condition of the patient led to a prompt paraneoplastic screening,the impaired general condition of the patient led to a prompt paraneoplastic,the impaired general condition of the patient led to a prompt paraneoplastic diagnosis
5220,79944,abdominal sonography detected hepatomegaly,abdominal sonography detected hepatomegaly,abdominal sonography detected hepatomegaly
5221,79945,computed tomography  of the abdomen and pelvis visualized a mass in the distal part of the esophagus narrowed lumen of the gastric cardia enlarged gastric lymph nodes lung and liver metastases and ascites ,computed tomography of the abdomen and pelvis visualized mass in the distal part of the esophagus narrowed lumen of the gastric cardia enlarged gastric lymph nodes lung and liver metastases and ascites,computed tomography of the abdomen and pelvis visualized mass in the distal part of  esophagus narrowed lumen of both the gastric cardia enlarged smallbowel lymph nodes lung and liver metastases and ascites
5222,79946,the diagnosis of paraneoplastic dm in association with an advanced metastatic primary gastric carcinoma was established,the diagnosis of paraneoplastic dm in association with an advanced metastatic primary gastric carcinoma established,the diagnosis of paraneoplastic dm in association with an advanced metastatic primary gastric carcinoma was established
5223,79947,palliative surgery and chemotherapy were proposed to the patient but he refused both,palliative chemotherapy were proposed the patient but he refused both,palliative chemotherapy were proposed for the patient but he refused both
5224,79948,the patient died two months later of combined respiratory and heart failure,the patient died two months later of combined respiratory heart failure,the patient died two months later of combined respiratory heart failure
5225,79949,there are multiple prediction factors such as cutaneous signs laboratory data and disease progression which may direct the physician towards the possibility of paraneoplastic dm,are multiple prediction factors such as cutaneous laboratory data and disease progression which may direct physician towards the possibility of paraneoplastic dm,are multiple prediction factors such as cutaneous laboratory data and disease progression which may direct the physician towards the possibility of paraneoplastic dm
5226,79950,some atypical cutaneous lesions such as cutaneous necrosis or vasculitis hyperkeratotic follicular papules vesiculobullous lesions and flagellate erythema are seen more frequently in cancerassociated dm ,atypical cutaneous lesions as cutaneous necrosis vasculitis hyperkeratotic follicular papules vesiculobullous lesions and flagellate erythema are seen more frequently in cancerassociated dm,atypical cutaneous lesions such as cutaneously necrosis vasculitis hyperkeratotic follicular papules vesiculobullous lesions and flagellate erythema are seen more frequently in cancerassociated dm
5227,79951,none of these were present in our patient,none of these were present in our patient,none of these were present in our patient
5228,79952,pruritus is also described as a paraneoplastic sign ,pruritus is also described as a paraneoplastic sign,pruritus is also described as a paraneoplastic sign
5229,79953,some authors consider the increased erythrocyte sedimentation rate and creactive protein to be of predictive value for malignancy,some authors consider the increased erythrocyte sedimentation rate and creactive to be of value for malignancy,some authors consider the increased erythrocyte sedimentation rate and creactive protein to be of value for malignancy
5230,79954,unfortunately we were unable to test for those autoantibodies,unfortunately we were unable to test for those autoantibodies,unfortunately we were unable to test for those autoantibodies
5231,79955,the symptom of dysphagia is a hallmark of paraneoplastic dermatomyositis and usually represents a manifestation of muscle weakness ,the symptom of dysphagia is a hallmark of paraneoplastic dermatomyositis and usually represents a manifestation muscle weakness,the symptom of dysphagia is a hallmark of paraneoplastic dermatomyositis and usually represents a manifestation of muscle weakness
5232,79956,in our case it was rather a reflection of the endoluminal tumor although it may also be a combination of both factors,in our case it was rather a reflection of the endoluminal tumor although it may also be a of both factors,in our case it was rather a reflection of the endoluminal tumor although it may also be a result of both factors
5233,79957,in their study bowerman et al,in their study bowerman et al,in their study bowerman et al
5234,79958,investigated the risk of cancer development in different dm subtypes ,investigated the risk of cancer development in different dm subtypes,weinvestigated the risk of cancer development in different dm subtypes
5235,79959,given that early diagnosis significantly impacts prognosis in patients with cancerassociated dm recent studies support blind screening for internal malignancy ,given that early diagnosis significantly impacts prognosis in patients with cancerassociated dm recent studies support blind screening for internal malignancy,given that early diagnosis significantly impacts prognosis in patients with cancerassociated dm recent studies support blind screening for internal malignancy
5236,79960,the authors claimed that the most informative tests were mammography and ct scanning,the claimed that the most informative tests were mammography and ct scanning,the authors claimed that the most informative tests were mammography and ct scanning
5237,79961,the abovementioned predictive factors for paraneoplastic dm represent a useful tool for the clinician,the predictive factors paraneoplastic dm a useful for the clinician,the predictive factors for paraneoplastic dm were a useful tool for the clinician
5238,79962,although it is generally accepted that patients with dm should undergo some type of cancer screening there is no consensus regarding methods or frequency,although it is generally accepted patients with should undergo some type of cancer is no consensus regarding methods or frequency,although it is generally accepted that patients with obesity should undergo some type of cancer there is no consensus regarding methods or frequency
5239,79963,new data suggest that blind screening in asymptomatic patients might be of great importance for early diagnosis and treatment of patients with cancerassociated dm,data suggest that blind screening in asymptomatic patients might be of importance for early diagnosis and treatment of patients with cancerassociated dm,data suggest that blind screening in asymptomatic patients might be of importance for early diagnosis and treatment of patients with cancerassociated dm
5240,79964,neurologic and gastrointestinal side effects of mild to moderate severity were observed but none required discontinuation of therapy,neurologic and gastrointestinal side of mild to moderate severity were observed but none required discontinuation therapy,neurologic and gastrointestinal side effects of mild to moderate severity were observed but none required discontinuation therapy
5241,79965,their clinical manifestations laboratory data and imaging data were summarized,their clinical manifestations laboratory data and imaging data were summarized,their clinical manifestations laboratory data and imaging data were summarized
5242,79966,the age of onset was  years,the age of onset was years,the age of onset was two years
5243,79967,there was no difference in most parameters for pain swelling and function,there was no difference in most parameters for pain swelling and function,there was no difference in most parameters for pain swelling and function
5244,79968,there was a significant difference in favor of piroxicam for tenderness on palpation and time to complete relief of symptoms,there was a significant difference in favor piroxicam for tenderness on palpation and time to complete relief of,there was a significant difference in favor of piroxicam for tenderness on palpation and time to complete relief of pain
5245,79969,t score for the tested scales were collected and stratified into a high t score  vs not ,t score for the tested scales were collected and stratified into a high t score vs not,t score for the tested scales were collected and stratified into a high t score vs not
5246,79970,univariate and multivariate logistic regression analyses were used to identify differences between groups and predictors for early edvisits and hospital readmissions,univariate and multivariate logistic regression were used identify differences between groups and predictors for early and hospital readmissions,univariate and multivariate logistic regression analyses were used to identify differences between groups and predictors for early and hospital readmissions
5247,79971,summary  djbl is an endoscopic device for treating obesity and related disorders,summary djbl is an endoscopic device for treating obesity and related disorders,summary djbl is an endoscopic device for treating obesity and related disorders
5248,79972,we conducted a multicenter randomized controlled trial stratified by center and diabetes status,we conducted a multicenter randomized controlled trial stratified center and diabetes status,we conducted a multicenter randomized controlled trial stratified by center and diabetes status
5249,79973,study enrollment was discontinued by the scientific monitoring committee due to the early termination of the endo trial  by the us food and drug administration,study enrollment was discontinued by the scientific monitoring committee due to the early termination of the endo trial by the us food and drug administration,study enrollment was discontinued by the scientific monitoring committee due to the early termination of the endo trial by both the us food and drug administration
5250,79974,the study was terminated after withdrawal of the devices european conformity marking by the european medicines agency and an interim analysis was performed,the study was terminated after of the devices european conformity marking by the medicines agency and interim analysis was performed,the study was terminated after revision of the devices european conformity marking by the medicines agency and interim analysis was performed
5251,79975,excess visceral fat can limit the ability to dissect the suprapancreatic region potentially increasing the risk of local complications particularly pancreatic fistula,excess visceral fat can limit the ability to dissect the suprapancreatic region potentially increasing the risk of local complications particularly pancreatic fistula,excess visceral fat can limit the ability to dissect the suprapancreatic region potentially increasing the risk of local complications particularly pancreatic fistula
5252,79976,this study evaluated perirenal fat thickness as a surrogate for visceral fat to see whether this was related to complications after laparoscopic distal gastrectomy,this study perirenal fat thickness as a surrogate visceral fat see whether this was related to complications after laparoscopic distal gastrectomy,this study evaluated perirenal fat thickness as a surrogate for visceral fat to see whether this was related to complications after laparoscopic distal gastrectomy
5253,79977,perirenal fat thickness was measured dorsal to the left kidney as an indicator of visceral fat in patients with gastric cancer who underwent laparoscopic distal gastrectomy,perirenal fat thickness was measured to the left kidney as an indicator fat in patients gastric cancer who underwent laparoscopic gastrectomy,perirenal fat thickness was measured to the left kidney as an indicator of fat in patients with gastric cancer who underwent laparoscopic sleeve gastrectomy
5254,79978,patients were divided into two groups those with and those without complications,patients were divided into groups those with those without complications,patients were divided into groups those with and those without complications
5255,79979,the relationship between perirenal fat thickness and postoperative complications was evaluated,the relationship perirenal thickness and postoperative complications evaluated,the relationship between perirenal thickness and postoperative complications was evaluated
5256,79980,a positive pts showed a significant correlation with visceral fat area,a positive pts a significant correlation visceral fat area,a positive pts showed a significant correlation with visceral fat area 
5257,79981,perirenal fat thickness as an indicator of visceral fat was an independent predictor of postoperative complications after laparoscopic distal gastrectomy for gastric cancer,perirenal fat thickness as an indicator of visceral fat an postoperative complications after laparoscopic distal gastrectomy for cancer,perirenal fat thickness as an indicator of visceral fat an early postoperative complications after laparoscopic distal gastrectomy for cancer
5258,79982,to evaluate clinical features and determine rehabilitation strategies of dysphagia it is crucial to measure the exact response time of the pharyngeal swallowing reflex in a videofluoroscopic swallowing study ,to evaluate clinical features and determine rehabilitation strategies of dysphagia it is crucial to measure the response time the pharyngeal swallowing in a videofluoroscopic swallowing study,to evaluate clinical features and determine rehabilitation strategies of dysphagia it is crucial to measure the response time of the pharyngeal swallowing in a videofluoroscopic swallowing study
5259,79983,however measuring the response time of the pharyngeal swallowing reflex is laborintensive and particularly for inexperienced clinicians it can be difficult to measure the brief instance of the pharyngeal swallowing reflex by vfss,however measuring the response time of the pharyngeal reflex is laborintensive and particularly inexperienced clinicians can be difficult to the brief instance of the pharyngeal swallowing by vfss,however measuring the response time of the pharyngeal reflex is laborintensive and particularly inexperienced clinicians can be difficult to predict the brief instance of hypoxia in the pathophysiology of acute upper gastrointestinal mucosal swallowing by vfss
5260,79984,to accurately measure the response time of the swallowing reflex we present a novel framework able to detect quick events,to accurately measure the time of the reflex we present a novel framework able to quick events,to accurately measure the time of the reflex we present a novel framework able to predict quick events
5261,79985,in this study we evaluated the usefulness of machine learning analysis of a vfss video for automatic measurement of the response time of a swallowing reflex in a pharyngeal phase,in this we evaluated the usefulness machine learning analysis of a vfss for automatic measurement of time of a swallowing reflex in pharyngeal phase,in this study we evaluated the usefulness of machine learning analysis of a vfss for automatic measurement of time of the swallowing reflex in pharyngeal phase
5262,79986,to evaluate the performance and generalization ability of our model fivefold crossvalidation was performed,to the performance and generalization ability of our model fivefold crossvalidation was performed,to assess the performance and generalization ability of our model fivefold crossvalidation was performed
5263,79987,therefore the response times during pharyngeal swallowing reflex are automatically detected by our novel framework,therefore the response times during pharyngeal swallowing reflex are detected by our novel framework,therefore the response times during pharyngeal swallowing reflex are detected by our novel framework
5264,79988,this framework can be a clinically useful tool for estimating the absence or delayed response time of the swallowing reflex in patients with dysphagia and improving poor interrater reliability of evaluation of response time of pharyngeal swallowing reflex between expert and unskilled clinicians,this framework can be a clinically useful tool for the absence or delayed time of the swallowing reflex in patients with dysphagia and improving poor interrater reliability of evaluation of response time swallowing reflex between expert and unskilled clinicians,this framework can be a clinically useful tool for predicting the absence or delayed time of the swallowing reflex in patients with dysphagia and improving poor interrater reliability of evaluation of response time to swallow reflex between expert and unskilled clinicians
5265,79989,exploring fever aetiologies improves patient management,exploring fever aetiologies improves patient management,exploring fever aetiologies improves patient management
5266,79990,most febrile adults are outpatients but all previous studies were conducted in inpatients,febrile adults are outpatients but all previous studies were conducted in inpatients,febrile adults are outpatients but all previous studies were conducted in inpatents
5267,79991,this study describes the spectrum of diseases in adults attending outpatient clinics in urban tanzania,study describes the spectrum of diseases in adults attending outpatient clinics in urban tanzania,thisstudy describes the spectrum of diseases in adults attending outpatient clinics in urban tanzania
5268,79992,we collected medical history and performed a clinical examination,we collected medical history and performed a clinical examination,we collected medical history and performed a clinical examination
5269,79993,we based our diagnosis on predefined clinical and microbiological criteria,we based our diagnosis on predefined clinical and microbiological criteria,we based our diagnosis on predefined clinical and microbiological criteria
5270,79994,systematic hiv screening is essential to appropriately manage febrile patients,systematic hiv screening is essential to appropriately febrile patients,systematic hiv screening is essential to appropriately identify febrile patients
5271,79995,the purpose of this detailed description of the clinical examination of the colic patient is to arrive at a specific diagnosis,the purpose of this description of the clinical examination of colic patient is to arrive at a diagnosis,the purpose of this description of the clinical examination of a colic patient is to arrive at a diagnosis
5272,79996,however this is hardly ever possible but the practitioner should be in the position to establish the suspicion of an intestinal obstruction or to rule out its presence during the course of the development,however this is hardly ever possible but the practitioner should be in the position to establish the suspicion of an intestinal or to rule out its presence during the course the development,the practitioner should be in the position to establish the suspicion of an intestinal obstruction or to rule out its presence during the course of the development
5273,79997,single clinical findings should not be interpreted in isolation but in relation to one another so that a false diagnosis is not made,clinical findings should not be interpreted in isolation but in relation to one another so that a diagnosis is not made,clinical findings should not be interpreted in isolation but in relation to one another so that a diagnosis is not made
5274,79998,all clinical findings should be documented so that when repeated examinations are carried out findings can be compared with one another,all clinical findings should be documented so that when repeated examinations are carried out findings can compared with one another,when repeated examinations are carried out these findings can be compared with one another
5275,79999,this is also important in the evaluation of the cause of the condition also it will be easier to discern the results of therapy,this is also important in the evaluation of cause of the condition also it be easier to discern the results of therapy,this is also important in the evaluation of the cause of this condition also it may be easier to discern the results of therapy
5276,80000, intussusception is defined as the invagination or telescoping of a proximal portion of the intestine into the distal portion of the intestine,intussusception is defined as the invagination or telescoping of a proximal of the intestine the distal of the intestine,intussusception is defined as the invagination or telescoping of a proximal portion of the intestine the distal part of intestine
5277,80001,intussusception can occur at any age but is more common among children,intussusception can occur at any age is more common among children,intussusception can occur at any age and is more common among children
5278,80002,most cases of intussusception in adults have a pathological lead point,most cases of intussusception in adults have a pathological lead point,most cases of intussusception in adults have a pathological lead point
5279,80003,inflammatory fibroid polyp  is a rare benign tumorlike lesion arising from the submucosa of the gastrointestinal tract that can cause intussusception in adults,fibroid polyp is a rare benign tumorlike lesion from the submucosa of gastrointestinal tract that can cause intussusception in,fibroid polyp is a rare benign tumorlike lesion from the submucosa of gastrointestinal tract that can cause intussusception in children
5280,80004,here we report a case of adult intussusception due to ifp,here we report a case of adult due ifp,here we report a case of adult death due to ifp
5281,80005,physical examination revealed distension and tenderness of the upper abdomen,physical examination distension tenderness of the upper abdomen,physical examination revealed distension and tenderness of the upper abdomen
5282,80006,computed tomography  of the abdomen and pelvis demonstrated intussusception of the jejunum along with a suspicious jejunal mass associated with mesenteric lymphadenopathies,computed tomography of the abdomen and pelvis demonstrated intussusception of the jejunum along with a suspicious jejunal mass associated with mesenteric lymphadenopathies,computed tomography of the abdomen and pelvis demonstrated intussusception of both the jejunum along with a suspicious jejunal mass associated with mesenteric lymphadenopathies
5283,80007, intussusception of the jejunum along with a suspicious jejunal mass and histopathological examination of the resected specimen showed ifp,intussusception of the jejunum along a suspicious jejunal mass and histopathological examination the resected specimen showed ifp,intussusception of the jejunum along with a suspicious jejunal mass and histopathological examination of a resected specimen showed ifp
5284,80008,the patient underwent emergency laparotomy,the patient underwent emergency laparotomy,the patient underwent emergency laparotomy
5285,80009,the intussusception was resected without attempts for reduction,the intussusception was resected without attempts for reduction,the intussusception was resected without attempts for reduction
5286,80010, the postoperative period was uneventful and the patient was discharged on the fourth postoperative day,the postoperative period was uneventful and the patient discharged on the fourth postoperative day,the patient was discharged on the fourth postoperative day
5287,80011, intussusception in adults is rare especially that secondary to ifp,intussusception in is rare especially that secondary to ifp,intussusception in children is rare especially that secondary to ifp
5288,80012,the most commonly used diagnostic tool for adult intussusception is abdominal ct and the optimal management is resection of the involved bowel segment without reduction if malignancy cannot be ruled out,the most used diagnostic tool adult intussusception is abdominal ct and the optimal management is resection of the involved bowel segment without reduction if cannot be ruled out,the most used diagnostic tool for adult intussusception is abdominal ct and the optimal management is resection of the involved bowel segment without reduction if surgery cannot be ruled out
5289,80013, primary gastric squamous cell carcinoma  is rarely encountered clinically,primary gastric squamous cell carcinoma is rarely encountered clinically,primary gastric squamous cell carcinoma is rarely encountered clinically
5290,80014,scc which presents as a submucosal tumor is even rarer,scc which presents as submucosal tumor is even rarer,scc which presents as submucosal tumor is even rarer
5291,80015,without the support of pathological evidence it is difficult to make a correct preoperative diagnosis,without the of pathological evidence it is difficult to make a correct diagnosis,without the presence of pathological evidence it is difficult to make a correct diagnosis
5292,80016,due to limited clinical data the pathogenesis and treatment of gastric scc remain unclear,to limited clinical data the pathogenesis and treatment of gastric scc remain unclear,to date limited clinical data on the pathogenesis and treatment of gastric scc remain unclear
5293,80017,endoscopy revealed a submucosal mass without any ulcer on its surface located on the body of the stomach,endoscopy revealed a submucosal mass without any ulcer on its surface located on body of the stomach,endoscopy revealed a submucosal mass without any ulcer on its surface located on the body of the stomach
5294,80018, the clinical diagnosis by computed tomography  and gastroscopy was gastrointestinal stromal tumor  preoperatively,the clinical diagnosis by computed tomography and gastroscopy was gastrointestinal stromal tumor preoperatively,the clinical diagnosis by computed tomography and gastroscopy was gastrointestinal stromal tumor preoperatively
5295,80019,the postoperative pathological examination demonstrated this tumor as moderately differentiated scc,the postoperative examination demonstrated this tumor as moderately differentiated scc,the postoperative examination demonstrated this tumor as moderately differentiated scc
5296,80020,total gastrectomy distal pancreatectomy and splenectomy were performed,total gastrectomy distal pancreatectomy and splenectomy were performed,total gastrectomy distal pancreatectomy and splenectomy were performed
5297,80021, large primary gastric scc could present as a submucosal mass,large gastric scc could present a submucosal mass,large gastric scc could present a submucosal mass
5298,80022,gastroscopic mucosal biopsy may not be able to get tumor tissue due to inflammatory reaction,gastroscopic biopsy may not be able to get tumor tissue due to inflammatory reaction,gastroscopic biopsy may not be able to get tumor tissue due to inflammatory reaction
5299,80023,although it is known that the gut microbiota  can be modulated by diet the efficacy of specific dietary interventions in determining its composition and diversity in obese patients remains to be ascertained,although it is known that the microbiota be modulated diet the efficacy of specific dietary interventions in determining its composition and diversity in obese patients remains to ascertained,although it is known that the gut microbiota can be modulated by diet the efficacy of specific dietary interventions in determining its composition and diversity in obese patients remains to be ascertained
5300,80024,the present work aims to evaluate the impact of a moderately hypocaloric mediterranean diet on the gm of obese and overweight patients ,the present work aims to evaluate the impact of a hypocaloric mediterranean diet on the gm of obese and overweight patients,the present work aims to evaluate the impact of a hypocaloric mediterranean diet on the gm of obese and overweight patients
5301,80025,at baseline gm characterization confirmed typical obesityassociated dysbiosis,at baseline gm characterization confirmed typical dysbiosis,at baseline gm characterization confirmed typical dysbiosis
5302,80026,we compared perioperative pros in patients undergoing colorectal operations for neoplastic versus nonneoplastic processes,we compared perioperative pros patients undergoing colorectal operations for neoplastic versus nonneoplastic processes,we compared perioperative pros of patients undergoing colorectal operations for neoplastic versus nonneplastic processes
5303,80027,patients undergoing colectomy were enrolled prospectively,patients undergoing colectomy were enrolled prospectively,patients undergoing colectomy were enrolled prospectively
5304,80028,preoperatively nonneoplasia patients reported significantly more pain fatigue and qol deficits than neoplasia patients,preoperatively patients significantly more pain fatigue and qol deficits than neoplasia,preoperatively patients reported significantly more pain fatigue and qol deficits than neoplasia
5305,80029,in patients undergoing colorectal surgery diagnosis influences perioperative pros early severe pain and fatigue may predict complications,in undergoing colorectal surgery diagnosis influences perioperative pros early severe and fatigue may complications,in patients undergoing colorectal surgery diagnosis influences perioperative pros early severe pain and fatigue may cause complications
5306,80030,metastasis to the pituitary gland is extremely rare ,metastasis to the pituitary gland is extremely rare,metastasis to the pituitary gland is extremely rare
5307,80031,clinical biochemical and radiologic characteristics of pituitary metastasis are poorly defined and can be difficult to diagnose before surgery,clinical biochemical and radiologic characteristics of metastasis are poorly defined and can be difficult to diagnose before surgery,clinical biochemical and radiologic characteristics of metastasis are poorly defined and can be difficult to diagnose before surgery
5308,80032,we present an unusual case with pituitary metastasis as the first manifestation of renal cell carcinoma ,present an unusual case with pituitary metastasis as the first manifestation renal cell,present an unusual case with pituitary metastasis as the first manifestation of renal cell carcinoma
5309,80033,a followup mri showed the sellar mass invading the right cavernous sinus,a showed the sellar mass invading the right cavernous sinus,a biopsy showed the sellar mass invading the right cavernous sinus
5310,80034,the presumptive diagnosis was a pituitary macroadenoma,the presumptive diagnosis was a pituitary macroadenoma,the presumptive diagnosis was a pituitary macroadenoma
5311,80035,hormonal testing noted possible secondary adrenal insufficiency  secondary hypothyroidism  secondary hypogonadism  and elevated serum prolactin ,hormonal testing noted possible secondary adrenal insufficiency secondary hypothyroidism secondary hypogonadism and elevated serum,hormonal testing noted possible secondary adrenal insufficiency secondary hypothyroidism secondary hyperglycaemia hypogonadism and elevated serum lipids
5312,80036,the patient was discharged on levothyroxine and hydrocortisone therapy with plans for close surveillance,the patient was discharged on levothyroxine and hydrocortisone therapy with plans for,the patient was discharged on levothyroxine and hydrocortisone therapy with plans for surgery
5313,80037,however his condition worsened over the next three months and he was subsequently readmitted with nausea vomiting and hypernatremia secondary to diabetes insipidus,however his condition worsened over the next and he was subsequently readmitted vomiting and hypernatremia secondary to insipidus,however his condition worsened over the next days and he was subsequently readmitted with vomiting and hypernatremia secondary to insipidus
5314,80038,repeat mri pituitary showed an interval increase in the size of the sellar mass with suprasellar extension and a new mass effect on the optic chiasm,repeat mri pituitary showed an interval increase in the size of the sellar with suprasellar extension and a on the optic chiasm,repeat mri pituitary resection showed an interval increase in the size of the sellar with suprasellar extension and a decrease on the optic chiasm
5315,80039,the sellar mass was urgently resected via a transsphenoidal approach,the sellar mass was urgently resected via a transsphenoidal approach,the sellar mass was urgently resected via a transsphenoidal approach
5316,80040,the tumor was negative for neuroendocrine markers and pituitary hormone panel ruling out the diagnosis of pituitary adenoma and triggered workup for metastatic renal cell carcinoma clear cell type,the tumor was negative for neuroendocrine markers and pituitary hormone panel ruling the diagnosis of pituitary adenoma and triggered workup for metastatic renal cell carcinoma clear cell type,the tumor was negative for neuroendocrine markers and pituitary hormone in a panel ruling the diagnosis of laparoscopic pitucary adenoma and triggered workup for metastatic renal cell carcinoma clear cell type
5317,80041,the diagnosis of renal cell carcinoma was confirmed by the diffuse and strong staining for renal cell carcinoma markers ,the diagnosis renal cell carcinoma was confirmed by diffuse and strong staining for cell carcinoma,the diagnosis of renal cell carcinoma was confirmed by diffuse and strong staining for small cell lymphoma
5318,80042,he subsequently received fractionated stereotactic radiotherapy to the pituitary gland,he subsequently received fractionated stereotactic radiotherapy to the pituitary gland,he subsequently received fractionated stereotactic radiotherapy to the pituitary gland
5319,80043,he is presently stable with no radiological evidence of progression or new intracranial disease on subsequent imaging,he is presently stable with radiological evidence of progression new intracranial disease subsequent imaging,he is presently stable with radiological evidence of progression of new intracranial disease subsequent imaging
5320,80044,pituitary metastasis most commonly occurs from breast lung or gastrointestinal tumors but also rarely from renal cell carcinoma,pituitary metastasis most occurs from breast lung or gastrointestinal tumors but also rarely from renal cell carcinoma,pituitary metastasis most commonly occurs from breast lung or gastrointestinal tumors but also rarely from renal cell carcinoma
